,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2018-01-01T00:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,2018-01-01T00:00:01.1150000Z,2018-01-01T23:59:58.4350000Z,13863.14,13889.0,12952.5,13480.01,12291.52559818,106360
1,2018-01-02T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,2018-01-02T00:00:03.5840000Z,2018-01-02T23:59:59.0390000Z,13480.0,15275.0,13005.0,14781.51,26342.45137652,175230
2,2018-01-03T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,2018-01-03T00:00:00.0350000Z,2018-01-03T23:59:55.6840000Z,14781.52,15400.0,14628.0,15098.14,17864.50655419,139559
3,2018-01-04T00:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,2018-01-04T00:00:01.5950000Z,2018-01-04T23:59:58.9930000Z,15098.23,15400.0,14230.0,15144.99,19918.78796707,143509
4,2018-01-05T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,2018-01-05T00:00:01.0320000Z,2018-01-05T23:59:59.9010000Z,15145.0,17178.0,14819.78,16960.01,22907.89074043,165297
5,2018-01-06T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,2018-01-06T00:00:02.9460000Z,2018-01-06T23:59:59.9940000Z,16960.01,17174.0,16251.01,17098.99,14096.20430522,151647
6,2018-01-07T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:00.6420000Z,2018-01-07T23:59:59.8460000Z,17099.0,17115.01,15755.01,16174.22,12231.88305422,100508
7,2018-01-08T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-08T00:00:00.6760000Z,2018-01-08T23:59:51.0970000Z,16174.22,16275.0,14000.0,14993.74,23141.29592688,158639
8,2018-01-09T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:01.8720000Z,2018-01-09T23:59:59.6720000Z,14993.73,15384.0,14230.0,14480.99,15330.28184538,119989
9,2018-01-10T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:02.4490000Z,2018-01-10T23:59:59.2200000Z,14481.0,14875.18,13550.01,14875.0,22589.61258559,174360
10,2018-01-11T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:02.0640000Z,2018-01-11T23:59:57.3450000Z,14875.17,14970.0,12800.01,13308.06,28702.24819173,156713
11,2018-01-12T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:01.7980000Z,2018-01-12T23:59:58.2580000Z,13308.06,14080.83,12900.0,13820.0,13974.08851592,86126
12,2018-01-13T00:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,2018-01-13T00:00:00.0820000Z,2018-01-13T23:59:58.5030000Z,13820.0,14500.0,13792.25,14187.95,9526.23188251,68775
13,2018-01-14T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-14T00:00:01.5980000Z,2018-01-14T23:59:54.0170000Z,14187.94,14332.85,13110.0,13656.23,10354.29823461,74604
14,2018-01-15T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,2018-01-15T00:00:06.8400000Z,2018-01-15T23:59:59.9570000Z,13656.23,14253.0,13416.0,13590.0,10493.12361806,64761
15,2018-01-16T00:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-16T00:00:00.9300000Z,2018-01-16T23:59:57.3440000Z,13590.0,13643.66,9928.62,11570.01,62047.88953813,274809
16,2018-01-17T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-17T00:00:00.1330000Z,2018-01-17T23:59:59.0370000Z,11570.01,12358.89,9005.0,11200.01,63861.61312814,240764
17,2018-01-18T00:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,2018-01-18T00:00:01.0460000Z,2018-01-18T23:59:54.7970000Z,11204.64,12123.1,10687.21,11305.53,30106.27864714,122431
18,2018-01-19T00:00:00.0000000Z,2018-01-20T00:00:00.0000000Z,2018-01-19T00:00:00.2550000Z,2018-01-19T23:59:45.6760000Z,11305.53,11973.99,11050.0,11498.99,15956.6096242,70439
19,2018-01-20T00:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,2018-01-20T00:00:01.8260000Z,2018-01-20T23:59:58.1370000Z,11499.0,12985.55,11498.99,12762.8,18703.66485284,85341
20,2018-01-21T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-21T00:00:03.2000000Z,2018-01-21T23:59:59.8740000Z,12762.8,12762.8,11118.0,11518.17,16383.72673732,78172
21,2018-01-22T00:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,2018-01-22T00:00:01.7030000Z,2018-01-22T23:59:59.3440000Z,11518.17,11849.0,10025.0,10766.7,24299.66914358,106009
22,2018-01-23T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2018-01-23T00:00:03.6060000Z,2018-01-23T23:59:56.0870000Z,10766.7,11370.0,9945.0,10824.94,21862.80008054,98342
23,2018-01-24T00:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-24T00:00:01.7600000Z,2018-01-24T23:59:59.0260000Z,10824.95,11450.0,10450.0,11356.79,15107.0374405,101213
24,2018-01-25T00:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,2018-01-25T00:00:01.3690000Z,2018-01-25T23:59:58.8770000Z,11356.8,11690.0,10851.0,11118.0,13721.28505508,84811
25,2018-01-26T00:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-26T00:00:00.1730000Z,2018-01-26T23:59:55.1760000Z,11118.0,11570.0,10305.0,11086.89,19252.33158822,89932
26,2018-01-27T00:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,2018-01-27T00:00:00.3840000Z,2018-01-27T23:59:58.0820000Z,11086.88,11494.08,10850.0,11319.0,12246.25288884,66383
