,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2018-01-01T00:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,2018-01-01T00:00:03.1460000Z,2018-01-01T23:59:52.0040000Z,227.18,232.29,217.66,225.22,258043.95090406,64789
1,2018-01-02T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,2018-01-02T00:00:01.8110000Z,2018-01-02T23:59:55.6570000Z,225.22,262.0,225.21,253.31,728465.90770218,151786
2,2018-01-03T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,2018-01-03T00:00:04.7240000Z,2018-01-03T23:59:59.2810000Z,253.3,258.54,240.56,244.99,454781.58823843,99927
3,2018-01-04T00:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,2018-01-04T00:00:02.4950000Z,2018-01-04T23:59:58.8800000Z,244.99,245.0,226.79,238.91,533781.74392811,108187
4,2018-01-05T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,2018-01-05T00:00:00.3620000Z,2018-01-05T23:59:55.8810000Z,238.91,251.97,236.24,246.23,505443.87720863,116219
5,2018-01-06T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,2018-01-06T00:00:00.1980000Z,2018-01-06T23:59:57.8620000Z,246.23,304.0,245.0,279.42,911889.72726111,197236
6,2018-01-07T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:00.4280000Z,2018-01-07T23:59:59.1190000Z,279.42,286.95,265.24,272.13,379134.39694933,80569
7,2018-01-08T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-08T00:00:07.1080000Z,2018-01-08T23:59:52.8210000Z,272.13,273.77,231.42,255.15,589566.43162987,113950
8,2018-01-09T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:04.0040000Z,2018-01-09T23:59:57.4920000Z,255.21,258.75,238.75,246.89,405201.88941618,84395
9,2018-01-10T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:02.4820000Z,2018-01-10T23:59:59.7210000Z,246.9,249.67,232.51,248.81,458364.9757251,112919
10,2018-01-11T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:02.4570000Z,2018-01-11T23:59:55.2840000Z,248.82,253.42,219.07,226.91,614720.38295958,115424
11,2018-01-12T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:07.7890000Z,2018-01-12T23:59:59.7900000Z,226.91,241.99,220.2,235.52,312788.39226781,73077
