,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2018-01-01T00:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,2018-01-01T00:00:02.3790000Z,2018-01-01T23:59:59.0290000Z,741.24,764.97,727.14,759.03,87376.83947108,58881
1,2018-01-02T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,2018-01-02T00:00:02.0050000Z,2018-01-02T23:59:53.7630000Z,759.03,878.5,759.02,865.0,369563.7127574,182827
2,2018-01-03T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,2018-01-03T00:00:02.7000000Z,2018-01-03T23:59:59.2360000Z,865.0,949.98,850.11,938.31,302543.57688521,140931
3,2018-01-04T00:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,2018-01-04T00:00:01.3790000Z,2018-01-04T23:59:58.5960000Z,938.16,994.89,906.01,949.0,316656.76508695,138079
4,2018-01-05T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,2018-01-05T00:00:00.9840000Z,2018-01-05T23:59:59.1780000Z,949.0,1015.0,935.0,969.27,277088.03279877,157902
5,2018-01-06T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,2018-01-06T00:00:00.6560000Z,2018-01-06T23:59:58.4280000Z,969.27,1009.11,961.23,1006.68,125897.88054115,120712
6,2018-01-07T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:02.4460000Z,2018-01-07T23:59:58.2390000Z,1006.68,1118.3,1003.02,1118.3,180414.84935272,97030
7,2018-01-08T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-08T00:00:00.7520000Z,2018-01-08T23:59:59.9620000Z,1118.3,1228.99,950.0,1137.01,385642.39610395,192289
8,2018-01-09T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:02.2850000Z,2018-01-09T23:59:58.4050000Z,1137.01,1297.58,1117.49,1290.01,279789.8923163,156881
9,2018-01-10T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:00.9460000Z,2018-01-10T23:59:59.8610000Z,1290.01,1386.99,1207.61,1246.94,385914.57140609,221683
10,2018-01-11T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:00.4570000Z,2018-01-11T23:59:55.1980000Z,1246.95,1335.0,1083.97,1137.01,400566.58514274,191521
11,2018-01-12T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:02.5700000Z,2018-01-12T23:59:59.0130000Z,1137.01,1285.0,1089.0,1259.99,207924.00717388,110900
12,2018-01-13T00:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,2018-01-13T00:00:01.8050000Z,2018-01-13T23:59:58.1830000Z,1260.0,1419.96,1259.99,1386.02,190918.03012703,117958
13,2018-01-14T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-14T00:00:00.7070000Z,2018-01-14T23:59:59.2270000Z,1386.01,1389.11,1256.01,1365.46,140350.75675839,93299
14,2018-01-15T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,2018-01-15T00:00:00.0640000Z,2018-01-15T23:59:52.8850000Z,1365.46,1380.97,1267.01,1278.46,129962.04461936,80990
15,2018-01-16T00:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-16T00:00:02.3720000Z,2018-01-16T23:59:57.8620000Z,1278.77,1285.57,852.0,1080.0,660752.72455188,287049
16,2018-01-17T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-17T00:00:00.4610000Z,2018-01-17T23:59:59.9980000Z,1080.01,1165.0,757.0,1028.06,852276.35540282,274935
17,2018-01-18T00:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,2018-01-18T00:00:00.0110000Z,2018-01-18T23:59:55.9360000Z,1028.31,1100.0,951.0,1025.78,355498.97546519,129089
18,2018-01-19T00:00:00.0000000Z,2018-01-20T00:00:00.0000000Z,2018-01-19T00:00:01.1990000Z,2018-01-19T23:59:59.6610000Z,1025.77,1093.0,993.4,1037.45,168237.42135167,74358
19,2018-01-20T00:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,2018-01-20T00:00:00.7640000Z,2018-01-20T23:59:46.3820000Z,1037.45,1164.97,1036.08,1150.02,166131.91006191,73216
20,2018-01-21T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-21T00:00:02.5400000Z,2018-01-21T23:59:58.6000000Z,1150.02,1151.0,1010.01,1047.13,159036.335881,79856
21,2018-01-22T00:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,2018-01-22T00:00:02.1740000Z,2018-01-22T23:59:58.6660000Z,1047.13,1080.0,917.0,999.68,220203.94566849,104222
22,2018-01-23T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2018-01-23T00:00:02.0410000Z,2018-01-23T23:59:59.4150000Z,999.69,1019.0,905.0,984.03,213974.19785612,98023
23,2018-01-24T00:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-24T00:00:02.8360000Z,2018-01-24T23:59:59.5520000Z,984.03,1056.99,952.0,1056.99,156642.93585966,67736
24,2018-01-25T00:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,2018-01-25T00:00:00.4930000Z,2018-01-25T23:59:59.8830000Z,1056.99,1098.74,1014.88,1040.0,169876.88794088,83009
25,2018-01-26T00:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-26T00:00:01.2280000Z,2018-01-26T23:59:56.9050000Z,1040.0,1071.75,987.54,1045.57,145006.84502077,77454
26,2018-01-27T00:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,2018-01-27T00:00:00.5140000Z,2018-01-27T23:59:57.5690000Z,1045.58,1119.0,1029.29,1100.0,120753.47937027,59075
27,2018-01-28T00:00:00.0000000Z,2018-01-29T00:00:00.0000000Z,2018-01-28T00:00:01.0960000Z,2018-01-28T23:59:49.0150000Z,1100.0,1224.0,1087.94,1215.01,178361.50515827,87974
28,2018-01-29T00:00:00.0000000Z,2018-01-30T00:00:00.0000000Z,2018-01-29T00:00:01.8880000Z,2018-01-29T23:59:58.5770000Z,1215.01,1221.74,1137.2,1162.27,132026.34249459,67727
29,2018-01-30T00:00:00.0000000Z,2018-01-31T00:00:00.0000000Z,2018-01-30T00:00:00.5210000Z,2018-01-30T23:59:57.0070000Z,1162.28,1171.0,1025.0,1054.39,240792.64625123,107034
30,2018-01-31T00:00:00.0000000Z,2018-02-01T00:00:00.0000000Z,2018-01-31T00:00:00.3060000Z,2018-01-31T23:59:59.7140000Z,1054.39,1121.03,1013.25,1105.01,178419.43675915,81196
31,2018-02-01T00:00:00.0000000Z,2018-02-02T00:00:00.0000000Z,2018-02-01T00:00:00.2860000Z,2018-02-01T23:59:58.5060000Z,1105.01,1143.0,930.0,1017.48,336067.78569719,130646
