,t,RSI_Total,Adv_Total,Hill_Total,Jack_Total,Tiered_Total,Loser_Total,Random_Total,Pred_Total,Insider_Total
0,10080,399866.70367,400000.0,398667.05395000003,398209.906995,398666.6666666667,399335.752,398200.00000000006,400000.0,399333.3333333334
0,10081,399859.33567,399200.0,398100.4621000001,397931.09485600004,398592.9662129483,399813.352,397785.5123989219,400000.0,399296.48310647416
0,10082,399874.07167000003,399288.4649941254,398317.9521000001,398130.8131600001,398740.36712038517,399962.632,398047.1089156128,400000.0,399370.1835601926
0,10083,399883.28167,399343.75561545376,398060.5621000001,398268.17716,398832.49268753314,399414.152,397412.0892183289,400000.0,399416.2463437666
0,10084,399894.33367,399410.1043610478,397980.30905000004,398433.01396,398943.0433681108,398582.152,397345.4833713457,400000.0,399471.5216840554
0,10085,399898.01767000003,399432.2206095791,398086.72905,398487.95956000005,398979.89359497,399203.272,397431.0981339416,400000.0,399489.946797485
0,10086,399910.91167,399509.62747943884,398050.88905000006,398680.26916,399108.86938897724,399326.632,397188.7268840244,400000.0,399554.4346944886
0,10087,399910.91167,399509.62747943884,397773.5278000001,398680.26916,399108.86938897724,399576.392,396701.9839108932,400000.0,399554.4346944886
0,10088,399905.38567,399476.4531066418,397555.3814,398597.85076,399053.5940486884,399185.99199999997,396451.37391567207,400000.0,399526.7970243442
0,10089,399912.75367,399520.68560370454,397514.04790000006,398707.74196,399127.2945024068,399447.272,396300.1179330157,400000.0,399563.6472512034
0,10090,399914.59567,399531.74372797017,397245.9527,398735.21476000006,399145.71961583645,399577.032,395817.5292072258,400000.0,399572.8598079182
0,10091,399914.59567,399531.74372797017,397963.6927000001,398735.21476000006,399145.71961583645,399819.272,397030.5724033532,399354.83870967745,399572.8598079182
0,10092,399916.43767,399542.80185223586,397896.5127000001,398762.68756000005,399164.14472926606,399297.832,396952.3149238086,399363.73809984676,399582.072364633
0,10093,399916.43767,399542.80185223586,397987.61270000006,398762.68756000005,399164.14472926606,399256.552,397114.0525191763,399363.73809984676,399582.072364633
0,10094,399927.48967000004,399609.15059782984,398398.75270000007,398927.52436000004,399274.6954098437,399412.712,397695.8865849875,399417.13444086246,399637.34770492185
0,10095,399925.64767000003,399598.0924735642,398372.29270000005,398900.05156000005,399256.2702964141,399185.352,397693.2569987074,399408.2350506932,399628.135148207
